1  -0.0514168381
2  -0.0569909044
3  -0.0560764598
4  -0.0580214194
5  -0.0582830092
6  -0.0588151149
7  -0.0591826661
8  -0.0603299671
9  -0.0605619767
10  -0.0606416395
11  -0.0607066289
12  -0.0608563435
13  -0.0610780237
14  -0.0613284462
15  -0.0614357481
16  -0.0614591630
17  -0.0614913264
18  -0.0615471218
19  -0.0616513179
20  -0.0617588261
21  -0.0618155033
22  -0.0618310276
23  -0.0618418547
24  -0.0618653295
25  -0.0619026188
26  -0.0619431498
27  -0.0619637749
28  -0.0619693608
29  -0.0619724062
30  -0.0619788144
31  -0.0619898205
32  -0.0620035926
33  -0.0620122948
34  -0.0620153291
35  -0.0620168641
36  -0.0620195137
37  -0.0620237523
38  -0.0620281237
39  -0.0620302456
40  -0.0620308033
41  -0.0620311378
42  -0.0620318531
43  -0.0620329824
44  -0.0620341837
45  -0.0620348005
46  -0.0620350013
47  -0.0620351412
48  -0.0620354338
49  -0.0620359122
50  -0.0620364426
51  -0.0620367308
52  -0.0620368294
53  -0.0620369003
54  -0.0620370467
55  -0.0620372978
56  -0.0620375982
57  -0.0620377811
58  -0.0620378434
59  -0.0620378787
60  -0.0620378787
