file wavefunction spin orbital
o-WFN_00001_1-1_0.cube 1 1 HOMO-4
o-WFN_00001_2-1_0.cube 1 2 HOMO-2
o-WFN_00002_1-1_0.cube 2 1 HOMO-3
o-WFN_00002_2-1_0.cube 2 2 HOMO-1
o-WFN_00003_1-1_0.cube 3 1 HOMO-2
o-WFN_00003_2-1_0.cube 3 2 HOMO0
o-WFN_00004_1-1_0.cube 4 1 HOMO-1
o-WFN_00004_2-1_0.cube 4 2 LUMO0
o-WFN_00005_1-1_0.cube 5 1 HOMO0
o-WFN_00005_2-1_0.cube 5 2 LUMO1
o-WFN_00006_1-1_0.cube 6 1 LUMO0
o-WFN_00006_2-1_0.cube 6 2 LUMO2
o-WFN_00007_1-1_0.cube 7 1 LUMO1
o-WFN_00008_1-1_0.cube 8 1 LUMO2
